missing_cells,trial,solution_count,generation_time_ns,removal_time_ns,solution_time_ns,total_time_ns
0,1,1,1920400,20400,3900,3868700
0,2,1,462700,15200,3200,498200
0,3,1,363700,13700,3000,394200
0,4,1,323300,15300,2900,356400
0,5,1,182100,9400,2900,206900
0,6,1,188400,21000,3100,228200
0,7,1,113500,7400,3100,132400
0,8,1,129700,8200,3200,149000
0,9,1,92500,7100,3100,110600
0,10,1,484200,7900,3100,502900
1,1,1,120800,10300,8300,149700
1,2,1,162100,9400,6700,188300
1,3,1,163500,10200,8100,190500
1,4,1,392000,11300,5500,441300
1,5,1,204300,10900,8500,253600
1,6,1,169900,10500,8300,200800
1,7,1,284100,11000,10000,318100
1,8,1,330500,11300,7600,361100
1,9,1,154000,10100,7100,183000
1,10,1,172600,10600,5800,199900
2,1,1,169500,13100,11200,205600
2,2,1,165000,10900,7400,201400
2,3,1,166900,12100,10000,203400
2,4,1,323400,11600,10000,356400
2,5,1,138300,10900,7800,176900
2,6,1,464200,10200,9900,497100
2,7,1,135100,8800,6900,161800
2,8,1,186700,10200,8300,214100
2,9,1,156700,9400,7700,184600
2,10,1,92300,6900,9000,116600
3,1,1,107100,13800,9200,138100
3,2,1,110800,7400,8700,134600
3,3,1,230700,8000,11500,257900
3,4,1,103300,7000,10100,128900
3,5,1,120800,7900,8700,144700
3,6,1,115600,7000,9300,139900
3,7,1,88500,7100,9400,112700
3,8,1,247100,8100,11000,275000
3,9,1,195800,7900,11400,223200
3,10,1,196700,8000,9700,222000
4,1,1,293800,8800,14600,333000
4,2,1,110000,7500,19700,146000
4,3,1,219200,8200,10800,266000
4,4,1,72600,7100,10000,96500
4,5,1,96900,7300,12800,123800
4,6,1,101200,7300,15800,131100
4,7,1,85600,6900,9100,109200
4,8,1,153300,6900,2800,170300
4,9,1,126500,8400,3500,145500
4,10,1,156400,7400,2300,174200
5,1,1,77600,6700,2900,96000
5,2,1,1629600,9500,3400,1650400
5,3,1,77500,8000,3400,98200
5,4,1,59000,6700,3200,75900
5,5,1,84200,7600,16900,118000
5,6,1,77700,6200,2900,95100
5,7,1,109200,7400,3100,126300
5,8,1,84700,6400,2900,100600
5,9,1,132600,6300,2900,149200
5,10,1,174100,7400,2600,190900
6,1,1,97800,6600,3300,114900
6,2,1,113700,6400,3800,130700
6,3,1,94900,6400,3600,111400
6,4,1,111900,8500,3300,131700
6,5,1,77300,8100,10200,103000
6,6,1,57400,7100,3200,75000
6,7,1,241700,6500,2300,257300
6,8,1,91500,6300,2400,108000
6,9,1,54900,6900,2500,70800
6,10,1,79900,6200,2700,95400
7,1,1,102200,6600,3200,118900
7,2,1,82000,6400,3100,98900
7,3,1,118600,6300,2500,134300
7,4,1,60400,6000,2800,76300
7,5,1,70500,6100,2800,85900
7,6,1,73100,6400,3000,89200
7,7,1,122000,6200,3200,137900
7,8,1,61400,6100,3000,77000
7,9,1,125300,6300,3000,141100
7,10,1,80300,9100,4500,117700
8,1,1,56400,8400,3700,75700
8,2,1,91700,6300,3800,108500
8,3,1,198500,6800,3900,216200
8,4,1,107800,7500,3300,126900
8,5,1,96300,6700,3000,114100
8,6,1,74800,6600,3400,92400
8,7,1,58000,6400,3000,74600
8,8,1,69000,6200,3200,84800
8,9,1,48800,6400,3100,66900
8,10,1,69200,8500,3300,87200
9,1,1,56800,6500,3600,73900
9,2,1,50000,6900,3200,66600
9,3,1,51900,7400,3600,69900
9,4,1,129900,6200,3500,146000
9,5,1,101800,6300,3000,117900
9,6,1,162000,6300,3200,178100
9,7,1,101800,6200,4500,119100
9,8,1,48600,6000,3800,68700
9,9,1,74600,6500,3600,91200
9,10,1,55800,6200,3500,72100
10,1,1,125700,6700,4200,145100
10,2,1,72100,7400,4500,100100
10,3,1,82700,11400,4200,105000
10,4,1,70900,7700,5300,91000
10,5,1,48900,4100,4200,63800
10,6,1,61400,3800,5100,79500
10,7,1,54700,3600,3800,64400
10,8,1,90800,3600,3700,100900
10,9,1,56800,3200,3900,66400
10,10,1,62000,3500,3300,71100
11,1,1,116900,4200,4600,127900
11,2,1,136600,3700,3700,146500
11,3,1,148600,6600,7100,165500
11,4,1,65600,6500,7000,82200
11,5,1,162800,8700,6500,182100
11,6,1,157700,4500,4400,170400
11,7,1,68400,3700,4000,78700
11,8,1,43300,3600,4100,53400
11,9,1,55800,3400,4000,65300
11,10,1,163500,3400,4300,173200
12,1,1,76000,3900,4500,86700
12,2,1,58200,3600,19900,83800
12,3,1,97800,4500,4900,110800
12,4,1,55400,4600,5300,68400
12,5,1,70200,6700,6300,86400
12,6,1,122800,5900,7600,139800
12,7,1,75700,5500,5600,89500
12,8,1,68100,4300,5100,80700
12,9,1,45300,4300,5400,57200
12,10,1,41400,3400,5700,53000
13,1,1,61400,4000,4800,72200
13,2,1,64000,3600,7700,77300
13,3,1,52600,3500,5900,64000
13,4,1,49900,4400,6300,63000
13,5,1,73800,4300,5000,86400
13,6,1,41100,3400,7000,53900
13,7,1,70600,3600,4500,80500
13,8,1,1473600,16000,7300,1499400
13,9,1,89200,8700,5000,107800
13,10,1,82000,4000,5100,93400
14,1,1,64900,4500,4900,76800
14,2,1,42300,6200,5300,56000
14,3,1,116900,4000,5800,128900
14,4,1,151600,3900,5200,162700
14,5,1,63600,3700,5400,75500
14,6,1,75700,3600,5200,86600
14,7,1,187500,5700,5300,203000
14,8,1,73300,5300,9000,89700
14,9,1,62000,6500,6300,77800
14,10,1,109200,9800,7800,130500
15,1,1,217400,6200,6600,234200
15,2,1,70200,16800,546000,642600
15,3,1,57300,8600,5600,76400
15,4,1,53400,5100,7100,67600
15,5,1,53900,5300,6800,69200
15,6,1,57300,3700,5700,68700
15,7,1,67200,3500,5700,78300
15,8,1,58800,3700,6000,70700
15,9,1,91500,19900,6200,119600
15,10,1,147100,6800,6400,163000
16,1,1,86200,8100,8200,104900
16,2,1,59200,4300,6300,74400
16,3,2,66000,3700,9600,81100
16,4,1,83200,3600,5700,94300
16,5,1,45200,8100,7100,62200
16,6,1,67500,3600,5600,78500
16,7,1,39900,3500,6500,51700
16,8,1,57400,3900,7100,70100
16,9,1,170200,4500,7600,184600
16,10,1,98800,4400,5700,111400
17,1,1,70200,4100,6900,83300
17,2,1,82000,3900,6400,94100
17,3,1,59700,3600,6300,71100
17,4,1,40000,3700,6200,51700
17,5,1,35400,3600,6300,47100
17,6,1,49200,3600,7000,61600
17,7,1,48600,3600,7000,61300
17,8,1,54500,3600,5400,65200
17,9,1,62300,3600,6300,73700
17,10,1,71400,4200,6700,84000
18,1,1,108500,4300,9100,125000
18,2,1,44800,3800,6900,57700
18,3,1,51700,3700,7200,64400
18,4,1,68600,3600,6900,81000
18,5,1,63000,3800,6800,75300
18,6,1,55900,3700,6700,68100
18,7,1,58200,3900,6500,70500
18,8,1,61600,3700,7200,74100
18,9,1,52500,3700,7600,65600
18,10,2,57500,3600,8500,72000
19,1,1,84500,5100,8300,100800
19,2,1,78800,4500,7200,92700
19,3,1,62700,4600,7400,76500
19,4,1,53300,3900,7100,66000
19,5,1,74800,4200,7500,88100
19,6,1,50800,3800,6900,63200
19,7,1,190000,4600,7200,203500
19,8,1,44100,4400,9600,59700
19,9,1,218700,4800,6600,232100
19,10,1,69300,8000,8900,89800
20,1,1,56000,6400,10600,76800
20,2,1,87300,6400,10200,106900
20,3,1,50600,4700,7900,66000
20,4,1,78100,4300,8000,93800
20,5,1,50500,4000,8300,64400
20,6,1,42500,4400,7400,56100
20,7,1,43100,3800,8300,56800
20,8,1,140300,15000,9100,166800
20,9,1,51200,4700,7800,66400
20,10,1,81100,5400,9800,98400
21,1,1,54900,4600,7400,69600
21,2,1,52800,4400,7700,66700
21,3,1,123700,18100,10100,154000
21,4,1,45400,2300,11300,61600
21,5,1,96500,2200,14300,115400
21,6,1,53300,2000,8900,66200
21,7,1,61100,2000,7600,72700
21,8,1,51000,1900,8400,63500
21,9,1,91900,4500,11000,110200
21,10,2,89500,3700,19800,116800
22,1,1,95900,3400,11900,115100
22,2,1,54900,3200,13800,75600
22,3,1,97900,3100,15400,119400
22,4,1,106900,3000,12500,125500
22,5,1,309000,3100,10500,325700
22,6,1,67200,2000,7600,79100
22,7,1,77300,2000,13200,94300
22,8,1,61100,1900,7900,72700
22,9,1,111300,1900,9300,124200
22,10,1,67600,2200,9300,80900
23,1,1,71800,6400,11700,92900
23,2,1,61000,2000,9100,74300
23,3,1,71000,3000,16700,93100
23,4,1,90200,3400,13400,110000
23,5,1,55200,3300,14900,76300
23,6,1,68600,4200,13100,88800
23,7,1,115400,3600,13200,134800
23,8,1,71500,3600,18800,97400
23,9,1,78000,2100,13600,96300
23,10,1,64100,2000,12000,79700
24,1,1,34000,2300,16800,55200
24,2,1,37800,2100,8900,50400
24,3,1,54400,1900,9400,67300
24,4,2,62700,1900,12700,78800
24,5,1,43900,1900,9500,57000
24,6,1,35200,1900,9200,48000
24,7,1,1398000,4700,13600,1419800
24,8,1,69100,3100,10600,88000
24,9,2,88300,3000,22100,117000
24,10,2,70600,3100,25800,102000
25,1,2,52300,3300,15500,74200
25,2,1,78700,3400,14400,112800
25,3,1,73500,2900,11800,90600
25,4,1,134300,3000,12700,159200
25,5,1,133800,3200,12400,152500
25,6,1,71300,10400,17400,102300
25,7,1,80700,3600,12700,100500
25,8,1,60800,10100,16600,90700
25,9,2,51200,2000,17500,72800
25,10,1,77500,2200,12500,94500
26,1,1,54200,2100,11300,69700
26,2,1,44700,2100,10100,58700
26,3,2,59100,2400,24200,87200
26,4,1,83600,2300,14000,102000
26,5,1,84400,2000,11000,99200
26,6,1,52500,1900,15800,72100
26,7,2,46600,2000,22600,72800
26,8,1,35600,2600,22100,62100
26,9,1,75200,2300,16500,95500
26,10,1,36000,2000,10500,50600
27,1,1,77500,2200,16900,98600
27,2,2,45800,2200,17900,67900
27,3,1,213900,2100,12600,230400
27,4,2,57300,4700,22800,90300
27,5,2,50800,2000,22600,76700
27,6,1,59000,1900,10500,72800
27,7,1,39400,2000,10600,53500
27,8,1,44500,1900,13700,61600
27,9,1,76900,2000,14700,95400
27,10,1,53200,1900,14700,71800
28,1,1,48900,1900,13400,66200
28,2,1,74400,1900,15900,93700
28,3,1,82800,3600,10900,98700
28,4,1,99400,3700,18900,124200
28,5,1,93300,3300,15200,114600
28,6,1,68100,3800,12400,87000
28,7,2,70800,2900,20900,96400
28,8,1,100800,2900,12500,118800
28,9,1,100300,3100,13500,120000
28,10,2,89900,2800,21200,116000
29,1,1,63900,3000,25600,94600
29,2,2,78500,2800,24500,107900
29,3,1,101300,3100,21000,127500
29,4,1,80400,2800,21400,106500
29,5,2,81600,9800,51700,145000
29,6,1,49300,2600,17400,71500
29,7,1,51400,2700,14600,71800
29,8,2,73200,2700,25100,102600
29,9,1,42500,2000,11600,58500
29,10,1,47000,2200,13200,63900
30,1,1,80000,2000,17500,101200
30,2,2,74600,2000,15900,94200
30,3,1,53000,2000,14900,71700
30,4,1,55700,1900,17900,77000
30,5,2,140300,2100,15700,160500
30,6,1,56400,2000,13700,73600
30,7,2,77200,2100,19200,99900
30,8,1,63100,2000,25500,92900
30,9,1,61300,2000,29500,99400
30,10,1,43300,2000,12800,59600
31,1,1,77000,2000,25900,106900
31,2,1,66900,2000,14900,85700
31,3,1,39700,2100,12400,55700
31,4,1,79700,2000,15900,98900
31,5,1,62600,1900,12300,78400
31,6,2,61500,2000,28400,93400
31,7,2,47900,2300,24400,76200
31,8,1,261100,2100,16500,281100
31,9,1,39100,2000,15100,57600
31,10,1,54100,2000,19600,77100
32,1,1,51900,1900,12600,68300
32,2,1,90300,2000,19400,113200
32,3,1,50500,2000,21900,76500
32,4,2,51600,2000,19900,75000
32,5,1,72100,2000,36800,112300
32,6,2,38500,2500,19400,66000
32,7,1,64400,2000,14600,82500
32,8,2,55800,2000,50800,110100
32,9,1,45900,2000,16900,66300
32,10,1,150300,1900,19900,173600
33,1,1,49500,2100,15300,72500
33,2,1,80800,2000,16900,101900
33,3,1,48300,2000,17500,69300
33,4,2,64800,2000,20300,88500
33,5,2,55400,1900,50700,109400
33,6,1,40100,1900,14200,57600
33,7,1,67800,2200,19900,95300
33,8,1,45300,1900,24000,73300
33,9,1,71700,1900,19100,94300
33,10,1,72400,2100,23300,99300
34,1,1,53200,2200,22900,80200
34,2,1,63500,10600,28400,104200
34,3,2,100800,2200,23500,128600
34,4,1,78300,2300,68100,150500
34,5,1,67500,2200,21200,92800
34,6,1,95900,3800,36300,137800
34,7,1,56800,2100,42500,104200
34,8,1,104500,3200,90000,199400
34,9,1,59900,2900,26300,91800
34,10,1,90700,2100,13700,108700
35,1,2,46200,2100,61000,111100
35,2,2,43000,2000,21300,68000
35,3,1,46100,2000,25500,75400
35,4,1,51000,2000,24200,78800
35,5,2,53100,2000,32300,89000
35,6,2,151100,2800,29300,185400
35,7,2,74100,2100,52400,130300
35,8,1,39300,2000,63200,105900
35,9,1,93600,2000,21800,118800
35,10,1,43000,2400,23600,70200
36,1,1,62700,2400,31800,98400
36,2,2,55800,1900,23800,83100
36,3,2,63100,2000,29400,96500
36,4,2,79700,2400,28600,112100
36,5,2,1989800,5100,22500,2018900
36,6,1,101000,2300,35500,141100
36,7,2,158300,3900,43100,207000
36,8,1,47600,2700,135800,188300
36,9,1,37400,2500,28000,70400
36,10,1,51000,2600,25400,80600
37,1,1,59000,3300,43500,108100
37,2,1,73700,2200,86100,164800
37,3,1,51400,2000,20200,75600
37,4,1,51600,2400,31300,86700
37,5,2,74600,2200,26200,104500
37,6,1,57200,2600,46400,107700
37,7,1,46800,2700,20700,71600
37,8,1,132800,1900,18800,155000
37,9,2,43300,2000,30600,77300
37,10,2,100800,2000,60900,165300
38,1,1,36900,2100,30900,71500
38,2,2,43600,2000,35400,82300
38,3,2,56800,2000,89100,149200
38,4,1,110400,1900,34900,148700
38,5,1,41600,2400,44800,90600
38,6,2,51500,1900,85800,140800
38,7,2,51300,2300,55000,110900
38,8,1,75400,2100,22400,101300
38,9,1,47400,2200,100400,152100
38,10,2,48400,2000,126900,178900
39,1,1,59500,2100,192000,255300
39,2,2,62900,2000,83000,149400
39,3,1,72600,2100,32900,108900
39,4,1,50600,2000,58900,112900
39,5,2,59500,2100,65300,128400
39,6,1,46700,1900,56300,106500
39,7,1,48200,2000,19100,70800
39,8,2,68900,2200,108900,181300
39,9,2,60200,2000,48200,111800
39,10,1,95800,2000,46900,146200
40,1,2,58200,2100,42900,104700
40,2,1,40900,2000,94800,139300
40,3,2,40400,2700,41300,99500
40,4,2,49500,2300,272100,326800
40,5,2,54800,2300,45600,104800
40,6,2,74400,2200,139600,218300
40,7,2,101400,4200,44600,157800
40,8,2,60700,2000,35600,100000
40,9,2,71700,2300,61900,147900
40,10,2,45500,26200,30400,103600
41,1,1,49600,2100,75500,128800
41,2,1,77400,2100,37200,118500
41,3,2,63600,2000,289000,356300
41,4,1,74300,2100,380800,458800
41,5,1,53400,3100,38900,97500
41,6,2,334900,2400,22700,361600
41,7,2,62500,2100,20700,87000
41,8,2,81600,2000,202400,287400
41,9,2,113000,3200,198600,316400
41,10,2,62000,2200,170600,237200
42,1,2,50200,2200,151500,205800
42,2,1,64400,2200,40300,108700
42,3,2,102800,2400,499000,605800
42,4,2,67800,2400,209600,282900
42,5,2,68100,3100,64200,151500
42,6,2,93500,2400,58800,156400
42,7,2,59700,2500,102900,167000
42,8,2,66000,2100,86700,156700
42,9,2,91500,2000,507600,602700
42,10,2,133400,2300,63200,200600
43,1,2,83900,2100,170000,258000
43,2,2,42200,2500,45600,93100
43,3,1,64800,2200,47000,115500
43,4,1,78600,2900,60500,145100
43,5,1,118600,3000,50200,173500
43,6,2,65100,3000,285200,355600
43,7,2,60000,2400,35800,101000
43,8,2,53900,2200,61200,119200
43,9,1,41400,2200,106100,151300
43,10,2,47900,2100,96600,148200
44,1,2,112100,2600,157500,273900
44,2,2,82300,3000,127900,215300
44,3,2,43400,2200,70100,119000
44,4,2,78300,2400,50100,132400
44,5,2,63600,2800,96500,164400
44,6,2,65300,2200,38100,108600
44,7,2,59400,2100,156900,220000
44,8,2,56800,2300,90400,151100
44,9,2,41500,2100,97700,142800
44,10,2,75600,2400,80900,160500
45,1,2,44000,2200,187100,235000
45,2,2,253700,6400,658200,923600
45,3,2,61500,2300,52200,118500
45,4,2,94600,2600,724600,824000
45,5,2,68600,3000,120700,196300
45,6,2,112000,2200,157200,273600
45,7,2,94000,3400,182600,281500
