missing_cells,trial,generation_time_ns,removal_time_ns,total_time_ns
0,1,4225700,32700,17501200
1,1,371100,40500,427700
2,1,125400,47600,197600
3,1,253300,92700,364500
4,1,250000,82900,363200
5,1,355000,103200,467800
6,1,129600,129500,278700
7,1,372900,170100,554100
8,1,203500,411700,626800
9,1,385500,136000,533500
10,1,141300,146100,298600
11,1,201200,161300,374200
12,1,152900,181200,346600
13,1,102400,188100,301700
14,1,243200,175100,435700
15,1,188000,175600,383500
16,1,314400,203900,528900
17,1,221000,228400,460900
18,1,139200,224300,376700
19,1,138700,280100,475000
20,1,430800,297200,740600
21,1,151800,475300,641900
22,1,216800,275700,511400
23,1,150800,453400,613800
24,1,645500,378600,1037200
25,1,140800,441100,597300
26,1,126100,411500,548600
27,1,174200,416400,602300
28,1,265600,399000,680900
29,1,136100,426200,571300
30,1,129500,2314200,2452700
31,1,222900,762900,999000
32,1,88900,852000,949200
33,1,126800,605700,746400
34,1,172500,1011300,1197100
35,1,157400,751900,928500
36,1,107300,576000,692400
37,1,92500,684600,792400
38,1,108200,505200,626800
39,1,125800,610800,771000
40,1,133000,527900,687100
41,1,147300,1334100,1493900
42,1,100200,877900,992500
43,1,94300,1341700,1447500
44,1,126300,1124200,1261200
45,1,90800,3423600,3525200
46,1,113900,877400,1005700
47,1,136200,1709600,1863900
48,1,95600,3744800,3850700
49,1,99800,1709000,1824500
50,1,61300,41065200,41135600
51,1,219000,1728000,1967300
52,1,90100,1182000,1284500
53,1,80500,3232100,3329400
54,1,89100,3575400,3678200
55,1,88500,74250000,7435350
