missing_cells,trial,success,generation_time_ns,removal_time_ns,total_time_ns
0,1,true,2755600,41100,5440700
1,1,true,652400,42300,710800
2,1,true,433000,36300,532600
3,1,true,192800,42600,253900
4,1,true,644900,48900,705400
5,1,true,136900,60800,207400
6,1,true,125400,79800,214900
7,1,true,177000,109500,294800
8,1,true,200800,109500,321700
9,1,true,113600,39400,162000
10,1,true,123900,37900,170000
11,1,true,174300,90400,275700
12,1,true,111300,80900,207300
13,1,true,485500,69800,566600
14,1,true,107400,65100,188500
15,1,true,164400,75600,252500
16,1,true,172500,90400,274100
17,1,true,110800,148300,271200
18,1,true,160400,131600,303000
19,1,true,153200,161600,391300
20,1,true,141600,165700,330800
21,1,true,151100,181200,344200
22,1,true,229000,191300,431500
23,1,true,182600,208000,402400
24,1,true,194400,259600,464500
25,1,true,171200,332900,518000
26,1,true,444500,305000,763300
27,1,true,133200,325500,471300
28,1,true,486200,367400,869900
29,1,true,169000,350800,534700
30,1,true,158200,439700,609100
31,1,true,148200,902200,1061700
32,1,true,209800,823900,1080100
33,1,true,203100,360100,577000
34,1,true,210500,306600,529400
35,1,true,88000,325800,424500
36,1,true,133800,473600,618400
37,1,true,105200,683500,802100
38,1,true,144500,641500,801200
39,1,true,89000,274200,391100
40,1,true,87800,286600,401400
41,1,true,77200,751300,839100
42,1,true,132500,833500,978200
43,1,true,76700,631900,742000
44,1,true,104200,640900,757600
45,1,true,73100,1955600,2038400
46,1,true,185000,1200700,1398400
47,1,true,103300,1252800,1369900
48,1,true,114500,1016400,1139000
49,1,true,184300,3484600,3678100
50,1,true,2021500,4124600,6163800
51,1,true,82400,6100300,6206000
52,1,true,79000,14924900,15026800
53,1,true,75200,49023700,49133500
54,1,true,67400,18064400,18149800
55,1,true,34000,183774700,183828300
56,1,true,26200,209092200,209136900
57,1,false,59000,18296600,18373400
58,1,false,30900,23091000,23141300
59,1,false,51100,287583600,287658200
60,1,false,32300,22951900,23002400
61,1,false,96700,980671100,980791700
62,1,false,35100,9985200,10036600
63,1,false,35200,21561500,21613500
64,1,false,32100,6958900,7015500
