missing_cells,trial,solutions,solution_time_ns
0,0,1,4300
0,1,1,3400
0,2,1,2900
0,3,1,3000
0,4,1,2900
0,5,1,3000
0,6,1,3100
0,7,1,2900
0,8,1,3100
0,9,1,3000
0,10,1,3000
1,0,1,7200
1,1,1,5700
1,2,1,5900
1,3,1,6200
1,4,1,5900
1,5,1,4500
1,6,1,6300
1,7,1,6200
1,8,1,5500
1,9,1,6200
1,10,1,7200
2,0,1,11000
2,1,1,6800
2,2,1,11800
2,3,1,9200
2,4,1,8000
2,5,1,7600
2,6,1,8000
2,7,1,9600
2,8,1,6800
2,9,1,7500
2,10,1,8300
3,0,1,9800
3,1,1,11300
3,2,1,12900
3,3,1,8100
3,4,1,13800
3,5,1,10600
3,6,1,17200
3,7,1,10300
3,8,1,14700
3,9,1,14200
3,10,1,10800
4,0,1,2500
4,1,1,2400
4,2,1,2300
4,3,1,2400
4,4,1,3000
4,5,1,3000
4,6,1,2500
4,7,1,2700
4,8,1,9500
4,9,1,7600
4,10,1,1800
5,0,1,2200
5,1,1,1900
5,2,1,2200
5,3,1,1700
5,4,1,2900
5,5,1,2800
5,6,1,1900
5,7,1,2100
5,8,1,2500
5,9,1,2300
5,10,1,2300
6,0,1,3500
6,1,1,2300
6,2,1,2100
6,3,1,2800
6,4,1,2400
6,5,1,2900
6,6,1,2700
6,7,1,2400
6,8,1,5500
6,9,1,4100
6,10,1,3500
7,0,1,5000
7,1,1,4500
7,2,1,4600
7,3,1,3800
7,4,1,4900
7,5,1,4500
7,6,1,5400
7,7,1,5000
7,8,1,4000
7,9,1,3700
7,10,1,3000
8,0,1,4400
8,1,1,2900
8,2,1,3400
8,3,1,3300
8,4,1,3200
8,5,1,3200
8,6,1,3100
8,7,1,3300
8,8,1,3800
8,9,1,3000
8,10,1,3200
9,0,1,3700
9,1,1,4200
9,2,1,3800
9,3,1,12000
9,4,1,3600
9,5,1,3800
9,6,1,3200
9,7,1,4000
9,8,1,3400
9,9,1,3400
9,10,1,3200
10,0,1,3700
10,1,1,3800
10,2,1,3500
10,3,1,4900
10,4,1,3300
10,5,1,3700
10,6,1,3800
10,7,1,4100
10,8,1,3500
10,9,1,3600
10,10,1,3700
11,0,1,3900
11,1,1,3900
11,2,1,4200
11,3,1,4300
11,4,1,5400
11,5,1,3700
11,6,1,19600
11,7,1,3900
11,8,1,5100
11,9,1,3800
11,10,1,3800
12,0,1,4700
12,1,1,4400
12,2,1,4300
12,3,1,4200
12,4,1,4200
12,5,1,4400
12,6,1,6000
12,7,1,9000
12,8,1,6600
12,9,1,6500
12,10,1,5400
13,0,1,4700
13,1,1,4800
13,2,1,5000
13,3,1,4400
13,4,1,5300
13,5,1,4500
13,6,1,5100
13,7,1,5100
13,8,1,4800
13,9,1,4900
13,10,1,5000
14,0,1,5100
14,1,1,5100
14,2,1,5000
14,3,1,6100
14,4,1,5000
14,5,1,5100
14,6,1,5900
14,7,1,5500
14,8,1,5300
14,9,1,5300
14,10,1,5100
15,0,1,7200
15,1,1,6700
